,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
32819,2,Apartment,779,Thane West,Under Construction,New,88.0,11296.534017971759
32820,3,Apartment,1450,Mulund East,Ready to move,Resale,280.0,19310.344827586207
32822,3,Apartment,1076,Kandivali East,Under Construction,New,306.0,28438.661710037173
32823,3,Apartment,1076,Kandivali East,Under Construction,New,290.0,26951.67286245353
32824,3,Apartment,1076,Kandivali East,Under Construction,New,281.0,26115.241635687733
32826,3,Apartment,977,Kandivali East,Under Construction,New,237.0,24257.932446264072
32827,4,Apartment,1620,Kandivali East,Under Construction,New,432.0,26666.666666666668
32828,3,Apartment,832,Malad West,Under Construction,New,206.99999999999997,24879.807692307688
32829,3,Apartment,899,Malad West,Under Construction,New,224.00000000000003,24916.573971078982
32832,3,Apartment,904,Andheri East,Ready to move,New,240.0,26548.672566371682
32841,3,Apartment,1233,Sewri,Under Construction,New,399.0,32360.097323600974
32842,2,Apartment,644,Malad West,Under Construction,New,165.0,25621.11801242236
32843,2,Apartment,644,Malad West,Under Construction,New,173.0,26863.35403726708
32844,2,Apartment,706,Malad West,Under Construction,New,179.0,25354.107648725214
32845,2,Apartment,706,Malad West,Under Construction,New,189.0,26770.538243626062
32846,3,Apartment,805,Malad West,Under Construction,New,204.99999999999997,25465.838509316767
32847,3,Apartment,805,Malad West,Under Construction,New,215.0,26708.07453416149
32867,2,Apartment,608,Andheri West,Under Construction,New,179.0,29440.78947368421
32868,2,Apartment,552,Andheri West,Under Construction,New,162.0,29347.82608695652
32869,3,Apartment,882,Andheri West,Under Construction,Resale,260.0,29478.45804988662
32870,2,Apartment,720,Kandivali West,Under Construction,New,177.0,24583.333333333332
32871,3,Apartment,1462,Kandivali West,Under Construction,New,359.0,24555.403556771547
32874,3,Apartment,998,Malad West,Under Construction,New,252.0,25250.501002004006
32875,4,Apartment,1581,Malad West,Under Construction,New,469.00000000000006,29664.76913345984
32876,2,Apartment,659,Borivali West,Under Construction,New,179.0,27162.367223065252
32877,2,Apartment,739,Borivali West,Under Construction,New,202.0,27334.23545331529
32878,4,Apartment,1318,Borivali West,Under Construction,New,360.0,27314.11229135053
32879,2,Apartment,880,Bhandup West,Under Construction,New,130.0,14772.727272727272
32881,1,Apartment,560,Bhandup West,Ready to move,Resale,72.0,12857.142857142857
32883,2,Apartment,880,Dahisar,Ready to move,Resale,138.0,15681.818181818182
32886,1,Studio Apartment,400,Borivali West,Ready to move,Resale,71.0,17750.0
32888,1,Studio Apartment,300,Borivali West,Ready to move,Resale,58.0,19333.333333333332
32889,1,Apartment,550,Dahisar West,Ready to move,Resale,92.0,16727.272727272728
32890,3,Apartment,1157,Bhandup West,Ready to move,Resale,250.0,21607.605877268797
